ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
B07BHKS4SY,"Aniwon Cloth Diaper, 7PCS Breathable Diaper Adjustable Snap Pocket Cloth Diaper Cover for Baby",Aniwon,"Clothing, Shoes & Jewelry",$0,0,$13.99,$5.29,8.7,"15,291,469",,62,1,Cherubaby,,"""8.66"" x ""7.09"" x ""2.76""",Standard (Large),0.19
B018LNNBN0,Aniwon Cocktail Fascinator Hat Sinamay Pillbox Hat Netting Flower Design for Wedding,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$50.97,$10.84,40.13,"4,191,979",6,57,2,Fascigirl Direct,3,"""6.9"" x ""6.2"" x ""3.2""",Standard (Large),0.02
B01J0RLIUY,"Aniwon Compression Socks Toe Open Leg Support Stocking Knee High Socks with Zipper (Beige, Medium)",Aniwon,Health & Household,$1638.36,164,$9.99,$3.91,6.08,"102,631",173,46,1,Zoylink,4,"""7.1"" x ""4.3"" x ""0.1""",Standard (Small),0.2
B01J0RLN7W,"Aniwon Compression Socks Toe Open Leg Support Stocking Knee High Socks with Zipper (Beige, XX-Large)",Aniwon,"Clothing, Shoes & Jewelry",$2097.9,210,$9.99,$3.91,6.08,"95,894",220,66,2,Zoylink,3.5,"""7.1"" x ""4.3"" x ""0.1""",Standard (Small),0.2
B01J0Q7TK8,"Aniwon Compression Socks Toe Open Leg Support Stocking Knee High Socks with Zipper (Black, Large)",Aniwon,"Clothing, Shoes & Jewelry",$2697.3,270,$9.99,$4.69,5.3,"76,315",65,66,1,Zoylink,3.6,"""7.5"" x ""4.5"" x ""1""",Standard (Large),0.08
B01J0Q7RVY,"Aniwon Compression Socks Toe Open Leg Support Stocking Knee High Socks with Zipper (Black, Medium)",Aniwon,"Clothing, Shoes & Jewelry",$2997,300,$9.99,$4.69,5.3,"71,965",27,66,1,Zoylink,3.4,"""6.5"" x ""4.5"" x ""0.9""",Standard (Large),0.15
B01J0Q7V2Y,"Aniwon Compression Socks Toe Open Leg Support Stocking Knee High Socks with Zipper (Black, XX-Large)",Aniwon,"Clothing, Shoes & Jewelry",$1798.2,180,$9.99,$4.69,5.3,"98,176",95,66,1,Zoylink,3.6,"""7.5"" x ""4.5"" x ""0.9""",Standard (Large),0.1
B01J0RLL7E,"Aniwon Compression Socks Toe Open Leg Support Stocking Knee High Socks with Zipper Beige,Large",Aniwon,Health & Household,$2097.9,210,$9.99,$3.91,6.08,"42,393",155,67,1,Zoylink,3.6,"""0.1"" x ""4.3"" x ""7.1""",Standard (Small),0.2
B00QG4Q3ZU,"Aniwon Cotton Stocking, Womens Thigh High Stockings Leg Warm Knee High Socks for Winter",Aniwon,"Clothing, Shoes & Jewelry",$0,0,$11.68,$4.94,6.74,"5,753,284",1,58,1,Fascigirl Direct,3,"""8.1"" x ""5.1"" x ""2""",Standard (Large),0.3
B07G83GB7C,Aniwon Cycling Balaclava Face Mask Skull Mask Windproof Ski Mask for Women Men,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$8.99,$4.54,4.45,"2,458,664",2,60,1,Life Dominater,2.4,"""1.1024"" x ""5.4724"" x ""6.811""",Standard (Large),0.119
B018S5W4OI,Aniwon Fascigirl Netting Fascinator Bridal Hair Clip Feather Headpieces Wedding Headwear,Fascigirl,"Clothing, Shoes & Jewelry",$0,0,$12.17,$5.02,7.15,"2,664,989",10,58,1,Fascigirl Direct,3.9,"""11.6"" x ""8.8"" x ""2.7""",Standard (Large),0.05
B014KQHEYO,Aniwon Fascinator Cocktail Hat Feather Net Hair Clip Pillbox Hat for Women Green,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$10.99,$4.84,6.15,"3,339,352",7,57,1,Fascigirl Direct,3.5,"""10"" x ""8.4"" x ""3.4""",Standard (Large),0.02
B01C2IFEHG,Aniwon Fascinator Feather Pillbox Hat Flax Cocktail Tea Party Derby Hat for Women Peach,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$23.99,N.A.,N.A.,"31,573,762",0,52,1,Fascigirl Direct,0,N.A.,True,0.13
B014EM1V2K,Aniwon Fascinator Hair Clip Hat Feather Veil Wedding Bridal Headwear for Women,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$12.95,$5.13,7.82,"1,306,626",31,58,1,Fascigirl Direct,4.2,"""10.4"" x ""8.3"" x ""2.6""",Standard (Large),0.05
B014EM1X50,Aniwon Fascinator Hair Clip Hat Feather Veil Wedding Bridal Headwear for Women,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$12.95,$5.13,7.82,"1,299,502",31,51,1,Fascigirl Direct,4.2,"""10.4"" x ""8.3"" x ""2.6""",Standard (Large),0.05
